"spcd","symbol","common","scientific"
7485,"JAAR2","braceletwood","Jacquinia armillaris"
7487,"JABE","bois bande","Jacquinia berteroi"
7490,"JAUM","chirriador","Jacquinia umbellata"
7491,"JACU2","Barbados nut","Jatropha curcas"
7492,"JAHE","wild oilnut","Jatropha hernandiifolia"
7493,"JAMU","coralbush","Jatropha multifida"
7494,"JATRO","nettlespurge","Jatropha spp."
7495,"JUJA","West Indian walnut","Juglans jamaicensis"
7496,"JURE80","English walnut","Juglans regia"
7497,"KAPA4","ketenguit","Kayea pacifica"
7499,"KHAN","Khaya anthotheca","Khaya anthotheca"
7501,"KHSE2","Senegal mahogany","Khaya senegalensis"
7503,"KIAF","Kigelia africana","Kigelia africana"
7506,"KLHO","guest tree","Kleinhovia hospita"
7507,"KOBI3","goldenrain tree","Koelreuteria bipinnata"
7508,"KOPO","Koanophyllon polyodon","Koanophyllon polyodon"
7509,"KOCO2","Molokai treecotton","Kokia cookei"
7510,"KODR","Hawaii treecotton","Kokia drynarioides"
7511,"KOKA","Kauai treecotton","Kokia kauaiensis"
7512,"KOLA2","Wailupe Valley treecotton","Kokia lanceolata"
7513,"KOKIA","treecotton","Kokia spp."
7514,"KRFE","leadwood","Krugiodendron ferreum"
7515,"KOPA","goldenrain tree","Koelreuteria paniculata"
7516,"KUER","burgan","Kunzea ericoides"
7517,"KUNZE","Kunzea","Kunzea spp."
7518,"LAFA2","summit labordia","Labordia fagraeoidea"
7519,"LAHE2","bog labordia","Labordia hedyosmifolia"
7520,"LAHI5","mountain labordia","Labordia hirtella"
7521,"LAKA","Waianae Range labordia","Labordia kaalae"
7522,"LALY2","Wahiawa Mountain labordia","Labordia lydgatei"
7523,"LABOR","labordia","Labordia spp."
93,"PIEN","Engelmann spruce","Picea engelmannii"
94,"PIGL","white spruce","Picea glauca"
95,"PIMA","black spruce","Picea mariana"
96,"PIPU","blue spruce","Picea pungens"
97,"PIRU","red spruce","Picea rubens"
98,"PISI","Sitka spruce","Picea sitchensis"
100,"PINUS","pine spp.","Pinus spp."
101,"PIAL","whitebark pine","Pinus albicaulis"
102,"PIAR","Rocky Mountain bristlecone pine","Pinus aristata"
103,"PIAT","knobcone pine","Pinus attenuata"
104,"PIBA","foxtail pine","Pinus balfouriana"
105,"PIBA2","jack pine","Pinus banksiana"
106,"PIED","common or two-needle pinyon","Pinus edulis"
107,"PICL","sand pine","Pinus clausa"
108,"PICO","lodgepole pine","Pinus contorta"
109,"PICO3","Coulter pine","Pinus coulteri"
110,"PIEC2","shortleaf pine","Pinus echinata"
111,"PIEL","slash pine","Pinus elliottii"
112,"PIEN2","Apache pine","Pinus engelmannii"
113,"PIFL2","limber pine","Pinus flexilis"
114,"PIST3","southwestern white pine","Pinus strobiformis"
115,"PIGL2","spruce pine","Pinus glabra"
116,"PIJE","Jeffrey pine","Pinus jeffreyi"
117,"PILA","sugar pine","Pinus lambertiana"
118,"PILE","Chihuahuan pine","Pinus leiophylla"
119,"PIMO3","western white pine","Pinus monticola"
120,"PIMU","bishop pine","Pinus muricata"
121,"PIPA2","longleaf pine","Pinus palustris"
122,"PIPO","ponderosa pine","Pinus ponderosa"
123,"PIPU5","Table Mountain pine","Pinus pungens"
124,"PIRA2","Monterey pine","Pinus radiata"
125,"PIRE","red pine","Pinus resinosa"
126,"PIRI","pitch pine","Pinus rigida"
127,"PISA2","gray or California foothill pine","Pinus sabiniana"
128,"PISE","pond pine","Pinus serotina"
129,"PIST","eastern white pine","Pinus strobus"
130,"PISY","Scotch pine","Pinus sylvestris"
131,"PITA","loblolly pine","Pinus taeda"
132,"PIVI2","Virginia pine","Pinus virginiana"
133,"PIMO","singleleaf pinyon","Pinus monophylla"
134,"PIDI3","border pinyon","Pinus discolor"
135,"PIAR5","Arizona pine","Pinus arizonica"
136,"PINI","Austrian pine","Pinus nigra"
137,"PIWA","Washoe pine","Pinus washoensis"
5529,"CLAC3","mountain sweetpepperbush","Clethra acuminata"
5559,"COAR6","bladder senna","Colutea arborescens"
5591,"COKO2","kousa dogwood","Cornus kousa"
5599,"COAM3","American hazelnut","Corylus americana"
5600,"COCO30","Turkish hazelnut","Corylus colurna"
5603,"COCO10","European smoketree","Cotinus coggygria"
5776,"CUTR2","storehousebush","Cudrania tricuspidata"
5800,"CULE2","Leyland cypress","Cupressocyparis leylandii"
5818,"CYOB2","quince","Cydonia oblonga"
5965,"EUAL13","burningbush","Euonymus alatus"
5983,"FASY","European beech","Fagus sylvatica"
6001,"ACAN4","blackbrush wattle","Acacia anegadensis"
6002,"ACAN10","mulga","Acacia aneura"
6003,"ACAU","auri","Acacia auriculiformis"
6004,"ACCO","small Philippine acacia","Acacia confusa"
6006,"ACKO","koa","Acacia koa"
6007,"ACKO2","koaoha","Acacia koaia"
6008,"ACMA","porknut","Acacia macracantha"
6009,"ACMA12","black wattle","Acacia mangium"
6010,"ACME80","black wattle","Acacia mearnsii"
6011,"ACME","blackwood","Acacia melanoxylon"
6012,"ACMU","spineless wattle","Acacia muricata"
6013,"ACNI2","gum arabic tree","Acacia nilotica"
6014,"ACPA81","South Wales wattle","Acacia parramattensis"
6015,"ACPO3","Acacia polyacantha","Acacia polyacantha"
6016,"ACDE3","silver wattle","Acacia dealbata"
6017,"ACDE","green wattle","Acacia decurrens"
6018,"ACTO","poponax","Acacia tortuosa"
6020,"ACVE2","prickly Moses","Acacia verticillata"
6021,"ACAR","hollowheart","Acnistus arborescens"
6023,"ACME2","grugru palm","Acrocomia media"
6025,"ADDI3","baobab","Adansonia digitata"
6026,"ADRI","wild lime","Adelia ricinella"
6028,"ADPA","red beadtree","Adenanthera pavonina"
6029,"ADENA","beadtree","Adenanthera spp."
6032,"AEMA","Caribbean spiritweed","Aegiphila martinicensis"
6034,"AFFA","yellowwood","Afrocarpus falcatus"
6035,"AFGR","East African yellowwood","Afrocarpus gracilior"
6036,"AGAU4","kauri","Agathis australis"
6037,"AGRO6","Queensland kauri","Agathis robusta"
6042,"AGMA14","Titimel","Aglaia mariannensis"
6043,"AGPA19","mesecheues","Aglaia palauensis"
6044,"AGPO4","karasyu, marasau","Aglaia ponapensis"
6046,"AGSA9","laga ali","Aglaia samoensis"
6047,"AGLAI","Aglaia","Aglaia spp."
6048,"AICO2","Olomea","Aidia cochinchinensis"
6049,"AIRA2","Aidia racemosa","Aidia racemosa"
6051,"AILAN","ailanthus","Ailanthus spp."
6053,"AIMI","Aiphanes minima","Aiphanes minima"
6055,"ALAD","cream albizia","Albizia adinocephala"
6056,"ALCA8","naked albizia","Albizia carbonaria"
6057,"ALCH2","Chinese albizia","Albizia chinensis"
6058,"ALFA5","ukall ra ngebard","Albizia falcataria"
6059,"ALLE","woman's tongue","Albizia lebbeck"
6060,"ALPR","tall albizia","Albizia procera"
6061,"ALRE","ukall ra ngebard","Albizia retusa"
6062,"ALSA10","whiteflower albizia","Albizia saponaria"
6063,"ALBIZ","albizia","Albizia spp."
6064,"ALLA","achiotillo","Alchornea latifolia"
6799,"QUSI","bastard oak","Quercus sinuata"
6800,"CYAC4","Haleakala cyanea","Cyanea aculeatiflora"
6801,"CYAR10","palmtree cyanea","Cyanea arborea"
6802,"CYFI6","Kauai cyanea","Cyanea fissa"
6805,"CYFL4","Degeners cyanea","Cyanea floribunda"
6806,"CYGI5","Kilauea Mauna cyanea","Cyanea giffardii"
6807,"CYHA6","wetforest cyanea","Cyanea hamatiflora"
6810,"CYHA7","Oahu cyanea","Cyanea hardyi"
6811,"CYHO6","prickly cyanea","Cyanea horrida"
6812,"CYKU3","Limahuli Valley cyanea","Cyanea kuhihewa"
6813,"CYKU","Kunths cyanea","Cyanea kunthiana"
6814,"CYLE5","giant kokee cyanea","Cyanea leptostegia"
6815,"CYMA10","purple cyanea","Cyanea macrostegia"
6818,"CYMA14","Marks cyanea","Cyanea marksii"
6819,"CYPI4","hairy cyanea","Cyanea pilosa"
6822,"CYPO5","pohaku cyanea","Cyanea pohaku"
6823,"CYPR8","Molokai cyanea","Cyanea procera"
6824,"CYPY","manyfruit cyanea","Cyanea pycnocarpa"
6825,"CYQU","oakleaf cyanea","Cyanea quercifolia"
6826,"CYRI4","plateau delissea","Cyanea rivularis"
6827,"CYSO2","pua kala","Cyanea solenocalyx"
6828,"CYANE","cyanea","Cyanea spp."
6829,"CYST5","Kaiholena cyanea","Cyanea stictophylla"
6830,"CYSU8","Mt. Kaala cyanea","Cyanea superba"
6833,"CYTR6","aku aku","Cyanea tritomantha"
6834,"CYAN","parrotfeather treefern","Cyathea andina"
6835,"CYAR","West Indian treefern","Cyathea arborea"
6837,"CYCO18","Coopers cyathea","Cyathea cooperi"
6838,"CYDE16","olioli","Cyathea decurrens"
6839,"CYFU","Jamaican treefern","Cyathea furfuracea"
6840,"CYLU5","olioli","Cyathea lunulata"
6841,"CYME12","olioli","Cyathea medullaris"
6842,"CYNI7","kattar","Cyathea nigricans"
6843,"CYPA7","small treefern","Cyathea parvula"
6844,"CYPO11","kattar","Cyathea ponapeana"
6847,"CYATH","treefern","Cyathea spp."
6848,"CYTE10","helecho gigante","Cyathea tenera"
6849,"CYTR11","olioli","Cyathea truncata"
6850,"CYSI","Cybianthus sintenisii","Cybianthus sintenisii"
6852,"CYCI3","queen sago","Cycas circinalis"
6853,"CYRE11","remiang","Cycas revoluta"
6854,"CYCAS","Cycas","Cycas spp."
6855,"CYBA7","ola","Cyclophyllum barbatum"
6857,"CYPO2","oreganillo falso","Cynometra portoricensis"
6858,"CYRA8","gulos","Cynometra ramiflora"
6859,"CYYO","eeme, aapwo","Cynometra yokotae"
6860,"CYBE3","tree-tomato","Cyphomandra betacea"
6862,"CYRA","swamp titi","Cyrilla racemiflora"
6863,"CYPU13","cyrtandra","Cyrtandra pulchella"
6864,"CYRA3","Cyrtandra","Cyrtandra ramosissima"
6865,"CYGI3","forest cyrtandra","Cyrtandra giffardii"
6866,"CYRTA","cyrtandra","Cyrtandra spp."
6867,"DAEX","candletree","Dacryodes excelsa"
6868,"DARE6","cocobolo","Dalbergia retusa"
6869,"DASI","Indian rosewood","Dalbergia sissoo"
6870,"DATU","cocobolo","Dalbergia tucurensis"
6871,"DAAM2","burn nose","Daphnopsis americana"
6872,"DAHE2","Heller's cieneguillo","Daphnopsis helleriana"
6873,"DAPH","emajagua de sierra","Daphnopsis philippiana"
6875,"DEFA","Hawaii delissea","Delissea fallax"
6876,"DELA4","cutleaf delissea","Delissea laciniata"
6877,"DENI","Niihau delissea","Delissea niihauensis"
6880,"DEPA9","smallflower delissea","Delissea parviflora"
7524,"LATI2","paleflower labordia","Labordia tinifolia"
7528,"LATR4","Lanai labordia","Labordia triflora"
7529,"LAWA3","Nevada peavine","Labordia waiolani"
7530,"LAPR2","cuero de rana","Laetia procera"
7531,"LAAN2","golden chain tree","Laburnum anagyroides"
7533,"LASP","pride of India","Lagerstroemia speciosa"
7539,"LADO2","Langsat","Lansium domesticum"
7541,"LAPO","nino de cota","Laplacea portoricensis"
7543,"LALO","bluelatan","Latania loddigesii"
7550,"LAIN5","henna","Lawsonia inermis"
7552,"LEKR","Krug's roughleaf","Leandra krugiana"
7556,"LEQU","pitahaya","Leptocereus quadricostatus"
7558,"LEMO20","large-leaf yellow teatree","Leptospermum morrisonii"
7559,"LEPE23","common teatree","Leptospermum petersonii"
7560,"LEPO22","common teatree","Leptospermum polygalifolim"
7561,"LESC2","broom teatree","Leptospermum scoparium"
7562,"LEPTO4","teatree","Leptospermum spp."
7564,"LEIN31","Leucaena insularum","Leucaena insularum"
7565,"LELE10","white leadtree","Leucaena leucocephala"
7566,"LEUCA","leadtree","Leucaena spp."
7567,"LERE5","littleleaf leadtree","Leucaena retusa"
7569,"LIBR5","Maria laurel","Licaria brittoniana"
7570,"LIPA9","Puerto Rico cinnamon","Licaria parvifolia"
7571,"LIOR2","Oriental sweetgum","Liquidambar orientalis"
7573,"LITR","pepperleaf sweetwood","Licaria triandra"
7574,"LIAM","Amur privet","Ligustrum amurense"
7575,"LISI","Chinese privet","Ligustrum sinense"
7576,"LIGUS2","privet","Ligustrum spp."
7577,"LIJA","Japanese privet","Ligustrum japonicum"
7578,"LILU2","glossy privet","Ligustrum lucidum"
7579,"LIOV","California privet","Ligustrum ovalifolium"
7580,"LIME7","southern spicebush","Lindera melissifolia"
7583,"LICH4","Lychee","Litchi chinensis"
7586,"LISA8","papaono","Litsea samoensis"
7587,"LITSE","Litsea","Litsea spp."
7588,"LICH3","fountain palm","Livistona chinensis"
7590,"LODO5","geno geno","Lonchocarpus domingensis"
7591,"LOGL2","geno","Lonchocarpus glaucifolius"
7592,"LOHE7","broadleaf lancepod","Lonchocarpus heptaphyllus"
7593,"LOMA6","Amur honeysuckle","Lonicera maackii"
7598,"LUNE4","Egg Fruit / Canistel","Lucuma nervosa"
7600,"LUSP11","luehea","Luehea speciosa"
7602,"LULI8","bakauaine, nana","Lumnitzera littorea"
7604,"LUNAN","lunania","Lunania spp."
7606,"LUEK","Lunania ekmanii","Lunania ekmanii"
7608,"LYRU2","St. Thomas staggerbush","Lyonia rubiginosa"
7614,"MAIN8","macadamia nut tree, pengua","Macadamia integrifolia"
7616,"MACAD","Macadamia","Macadamia spp."
7617,"MATE16","Macadamia Nut","Macadamia tetraphylla"
7618,"MACA25","bedel","Macaranga carolinensis"
7619,"MAGR","Macaranga grayana","Macaranga grayana"
7620,"MAHA9","lau pata","Macaranga harveyana"
7621,"MAMA28","pengua","Macaranga mappa"
7623,"MACAR","macaranga","Macaranga spp."
7625,"MAST7","lau fatu","Macaranga stipulosa"
7626,"MATA3","parasol leaf tree","Macaranga tanarius"
7627,"MATH3","Macaranga thompsonii","Macaranga thompsonii"
138,"PIQU","four-leaf or Parry pinyon pine","Pinus quadrifolia"
139,"PITO","Torrey pine","Pinus torreyana"
140,"PICE","Mexican pinyon pine","Pinus cembroides"
141,"PIRE5","papershell pinyon pine","Pinus remota"
142,"PILO","Great Basin bristlecone pine","Pinus longaeva"
143,"PIMOF","Arizona pinyon pine","Pinus monophylla"
144,"PIELE2","Honduras pine","Pinus elliottii"
200,"PSEUD7","Douglas-fir spp.","Pseudotsuga spp."
201,"PSMA","bigcone Douglas-fir","Pseudotsuga macrocarpa"
202,"PSME","Douglas-fir","Pseudotsuga menziesii"
211,"SESE3","redwood","Sequoia sempervirens"
212,"SEGI2","giant sequoia","Sequoiadendron giganteum"
220,"TAXOD","baldcypress spp.","Taxodium spp."
221,"TADI2","baldcypress","Taxodium distichum"
222,"TAAS","pondcypress","Taxodium ascendens"
223,"TAMU","Montezuma baldcypress","Taxodium mucronatum"
230,"TAXUS","yew spp.","Taxus spp."
231,"TABR2","Pacific yew","Taxus brevifolia"
232,"TAFL","Florida yew","Taxus floridana"
240,"THUJA","thuja spp.","Thuja spp."
241,"THOC2","northern white-cedar","Thuja occidentalis"
242,"THPL","western redcedar","Thuja plicata"
250,"TORRE","torreya (nutmeg) spp.","Torreya spp."
251,"TOCA","California torreya (nutmeg)","Torreya californica"
252,"TOTA","Florida torreya (nutmeg)","Torreya taxifolia"
260,"TSUGA","hemlock spp.","Tsuga spp."
261,"TSCA","eastern hemlock","Tsuga canadensis"
262,"TSCA2","Carolina hemlock","Tsuga caroliniana"
263,"TSHE","western hemlock","Tsuga heterophylla"
264,"TSME","mountain hemlock","Tsuga mertensiana"
299,"2TE","unknown dead conifer","Tree evergreen"
300,"ACACI","acacia spp.","Acacia spp."
303,"ACFA","sweet acacia","Acacia farnesiana"
304,"ACGR","catclaw acacia","Acacia greggii"
310,"ACER","maple spp.","Acer spp."
311,"ACBA3","Florida maple","Acer barbatum"
312,"ACMA3","bigleaf maple","Acer macrophyllum"
313,"ACNE2","boxelder","Acer negundo"
314,"ACNI5","black maple","Acer nigrum"
315,"ACPE","striped maple","Acer pensylvanicum"
316,"ACRU","red maple","Acer rubrum"
317,"ACSA2","silver maple","Acer saccharinum"
318,"ACSA3","sugar maple","Acer saccharum"
319,"ACSP2","mountain maple","Acer spicatum"
320,"ACPL","Norway maple","Acer platanoides"
6066,"ALFL3","palo de gallina","Alchorneopsis floribunda"
6069,"ALMA","Hawaii alectryon","Alectryon macrococcus"
6072,"ALSA12","Elattostachys falcata","Elattostachys falcata"
6073,"ALECT","alectryon","Alectryon spp."
6075,"ALMO2","Indian walnut","Aleurites moluccana"
6077,"ALEUR","aleurites","Aleurites spp."
6078,"ALTR11","lumbang","Aleurites trisperma"
6080,"ALCR9","palo blanco","Allophylus crassinervis"
6082,"ALRA","palo de caja","Allophylus racemosus"
6083,"ALLOP","Allophylus","Allophylus spp."
6084,"ALTE13","chebeludes","Allophylus ternatus"
6085,"ALTI2","ebeludes, chebeludes","Allophylus timorensis"
6086,"ALNE2","Nepal alder","Alnus nepalensis"
6088,"ALCA21","chelebiob, elebiong","Alphitonia carolinensis"
6089,"ALPO3","Hawaii kauilatree","Alphitonia ponderosa"
6090,"ALPHI","Alphitonia","Alphitonia spp."
6091,"ALZI","toi","Alphitonia zizyphoides"
6092,"ALBR4","helecho gigante de la sierra","Alsophila bryophila"
6093,"ALPO7","Alsophila portoricensis","Alsophila portoricensis"
6095,"ALMA16","deviltree","Alstonia macrophylla"
6096,"ALPA22","Alstonia pacifica","Alstonia pacifica"
6097,"ALSTO","alstonia","Alstonia spp."
6101,"AMLA4","black calabash","Amphitecna latifolia"
6103,"AMBA2","balsam torchwood","Amyris balsamifera"
6106,"ANACA","anacardium","Anacardium spp."
6107,"ANOC","cashew","Anacardium occidentale"
6108,"ANGL5","Anacolosa glochidiiformis","Anacolosa glochidiiformis"
6109,"ANIN13","Anacolosa insularis","Anacolosa insularis"
6111,"ANPE13","Anadenanthera peregrina","Anadenanthera peregrina"
6114,"ANIN","cabbagebark tree","Andira inermis"
6118,"ANEV","dermarm","Angiopteris evecta"
6120,"ANBR7","canelillo","Aniba bracteata"
6124,"ANCH9","Annona cherimola","Annona cherimola"
6125,"ANDI11","ilama","Annona diversifolia"
6127,"ANMO","mountain soursop","Annona montana"
6128,"ANMU2","soursop","Annona muricata"
6129,"ANRE","custard apple","Annona reticulata"
6130,"ANNON","Annona","Annona spp."
6131,"ANSQ","sugar apple","Annona squamosa"
6135,"ANKA","Kapua china laurel","Antidesma kapuae"
6137,"ANBU3","Antidesma bunius","Antidesma bunius"
6138,"ANKU3","Antidesma kusaiense","Antidesma kusaiense"
6139,"ANPL2","ha a","Antidesma platyphyllum"
6142,"ANPO8","Antidesma ponapense","Antidesma ponapense"
6143,"ANPU2","hame","Antidesma pulvinatum"
6144,"ANSP14","Antidesma sphaerocarpum","Antidesma sphaerocarpum"
6145,"ANTID","chinalaurel","Antidesma spp."
6146,"ANAC4","placa chiquitu","Antirhea acutata"
6147,"ANCO3","pegwood","Antirhea coriacea"
6148,"ANIN2","Antirhea inconspicua","Antirhea inconspicua"
6149,"ANLU3","palo iloron","Antirhea lucida"
6150,"ANOB2","quina roja","Antirhea obtusifolia"
6151,"ANPO3","Puerto Rico quina","Antirhea portoricensis"
6152,"ANSI","Sintenis' quina","Antirhea sintenisii"
6154,"ARAN15","parana pine","Araucaria angustifolia"
6881,"DELIS","delissea","Delissea spp."
6882,"DEUN2","leechleaf delissea","Delissea undulata"
6883,"DERE","royal poinciana","Delonix regia"
6884,"DELON","delonix","Delonix spp."
6885,"DEHA5","salato","Dendrocnide harveyi"
6886,"DELA13","kahtat","Dendrocnide latifolia"
6887,"DENDR16","Dendrocnide","Dendrocnide spp."
6888,"DEAR","angelica tree","Dendropanax arboreus"
6889,"DELA3","palo de vaca","Dendropanax laurifolius"
6891,"DIAL13","redpalm","Dictyosperma album"
6896,"DIIN6","chulta","Dillenia indica"
6898,"DISU11","shrubby dillenia","Dillenia suffruticosa"
6899,"DILO7","Dimocarpus longan","Dimocarpus longan"
6900,"DIBL3","mabolo","Diospyros blancoi"
6902,"DIDI9","Mabolo","Diospyros discolor"
6903,"DIEB","Black sapote","Diospyros ebenaster"
6904,"DIEL3","anume","Diospyros elliptica"
6905,"DIFE5","Diospyros ferrea","Diospyros ferrea"
6906,"DIHI4","elama","Diospyros hillebrandii"
6907,"DIKA2","persimmon","Diospyros kaki"
6909,"DIRE6","black apple","Diospyros revoluta"
6910,"DISA16","auauli","Diospyros samoensis"
6911,"DISA10","lama","Diospyros sandwicensis"
6912,"DISI3","Chinese persimmon","Diospyros sintenisii"
6918,"RHCA3","common buckthorn","Rhamnus cathartica"
6921,"DIPO","otot","Discocalyx ponapensis"
6923,"DIMY","jaboncillo","Ditta myricoides"
6924,"RHTY","staghorn sumac","Rhus typhina"
6927,"DOVI","Florida hopbush","Dodonaea viscosa"
6928,"DOSP3","rru","Dolichandrone spathacea"
6930,"DOHE2","Ceylon gooseberry","Dovyalis hebecarpa"
6932,"DRFR2","fragrant dracaena","Dracaena fragrans"
6933,"DRMU2","Dracaena multiflora","Dracaena multiflora"
6934,"DRRE6","song of India","Dracaena reflexa"
6935,"DRCA18","Drypetes carolinensis","Drypetes carolinensis"
6936,"DRDO3","Drypetes dolichocarpa","Drypetes dolichocarpa"
6937,"DRAL5","cafeillo","Drypetes alba"
6938,"DRGL2","varital","Drypetes glauca"
6939,"DRIL","rosewood","Drypetes ilicifolia"
6940,"DRLA3","guiana plum","Drypetes lateriflora"
6941,"DRNI3","kevert","Drypetes nitida"
6942,"DRYPE","Drypetes","Drypetes spp."
6943,"DRVI5","none","Drypetes vitiensis"
6944,"DUDE","Dubautia","Dubautia demissifolia"
6945,"DUFA2","Dubautia","Dubautia x fallax"
6946,"DUMO2","Dubautia","Dubautia montana"
6947,"DUAR","Mauna Kea dubautia","Dubautia arborea"
6948,"DUKN","forest dubautia","Dubautia knudsenii"
6949,"DRYA","Drypetes yapensis","Drypetes yapensis"
6952,"DUMI","Kauai dubautia","Dubautia microcephala"
6953,"DUPL","plantainleaf dubautia","Dubautia plantaginea"
6954,"SAEL","Elaeagnus willow","Salix elaeagnos"
6957,"DURE2","netvein dubautia","Dubautia reticulata"
6958,"DUBAU","dubautia","Dubautia spp."
6959,"SAGE2","Geyer willow","Salix geyeriana"
6961,"DUER","golden dewdrops","Duranta erecta"
6963,"SALA3","red willow","Salix laevigata"
6965,"DUZI","Durian","Durio zibethinus"
6966,"DYLU","yellow butterfly palm","Dypsis lutescens"
6967,"SAMA13","corkscrew willow","Salix matsudana"
6968,"DYHU2","maota mea","Dysoxylum huntii"
6969,"DYMA","maota","Dysoxylum maota"
7628,"MALU2","palo de hoz","Machaerium lunatum"
7630,"MAPO6","Puerto Rico alfilerillo","Machaonia portoricensis"
7632,"MATI3","Maclura tinctoria","Maclura tinctoria"
7633,"MAEM2","umbrella-tree","Maesopsis eminii"
7635,"MAPO2","Puerto Rico magnolia","Magnolia portoricensis"
7636,"MASP","laurel magnolia","Magnolia splendens"
7637,"MASI14","Oyama magnolia","Magnolia sieboldii"
7638,"MAPA6","Mallotus palauensis","Mallotus palauensis"
7639,"MAPH4","kamala tree","Mallotus philippensis"
7641,"MALLO","mallotus","Mallotus spp."
7642,"MATI4","Mallotus tiliifolius","Mallotus tiliifolius"
7643,"MACO11","Singapore holly","Malpighia coccigera"
7644,"MAEM","Barbados cherry","Malpighia emarginata"
7645,"MAFU2","palo bronco","Malpighia fucata"
7646,"MAGL6","wild crapemyrtle","Malpighia glabra"
7647,"MAIN5","cowhage cherry","Malpighia infestissima"
7648,"MALI2","bastard cherry","Malpighia linearis"
7649,"MABA","Siberian crab apple","Malus baccata"
7650,"MAFL80","Japanese flowering crab apple","Malus floribunda"
7651,"MAPU","paradise apple","Malus pumila"
7652,"MAAM2","mammee apple","Mammea americana"
7653,"MAGL12","manapau","Mammea glauca"
7654,"MAOD2","chopak","Mammea odorata"
7655,"MAMME","Mammea","Mammea spp."
7657,"MAMI3","kanit","Mangifera minor"
7658,"MAOD","saipan mango","Mangifera odorata"
7659,"MANGI","mango","Mangifera spp."
7660,"MAGL5","ceara rubbertree","Manihot glaziovii"
7661,"MANIH","manihot","Manihot spp."
7662,"MABI5","bulletwood","Manilkara bidentata"
7663,"MABIS","Surinam bulletwood","Manilkara bidentata"
7664,"MADI14","pani","Manilkara dissecta"
7666,"MAHO5","kohle","Manilkara hoshinoi"
7667,"MAJA2","wild dilly","Manilkara jaimiqui"
7669,"MAPL2","zapote de costa","Manilkara pleeana"
7671,"MANIL","Manilkara","Manilkara spp."
7672,"MAUD","udeuid","Manilkara udoido"
7673,"MAVA3","nisperillo","Manilkara valenzuela"
7674,"MAZA","sapodilla","Manilkara zapota"
7677,"MARA3","palo de cana","Mappia racemosa"
7679,"MACO","bkau, apgau","Maranthes corymbosa"
7680,"MAFR11","dermarm","Marattia fraxinea"
7682,"MANO","bastard hogberry","Margaritaria nobilis"
7684,"MASI3","beruquillo","Marlierea sintenisii"
7688,"MAAP5","Matayba apetala","Matayba apetala"
7689,"MADO2","negra lora","Matayba domingensis"
7694,"MABO8","mayten","Maytenus boaria"
7695,"MACY2","Caribbean mayten","Maytenus cymosa"
7697,"MAEL3","Puerto Rico mayten","Maytenus elongata"
7698,"MALA8","white cinnamon","Maytenus laevigata"
7699,"MAPO5","ponce mayten","Maytenus ponceana"
7700,"MATH4","luluhut","Maytenus thompsonii"
7702,"MELA7","Mecranium latifolium","Mecranium latifolium"
7704,"MECA21","Medusanthera carolinensis","Medusanthera carolinensis"
7705,"MESA11","matamo","Medusanthera samoensis"
321,"ACGL","Rocky Mountain maple","Acer glabrum"
322,"ACGR3","bigtooth maple","Acer grandidentatum"
323,"ACLE","chalk maple","Acer leucoderme"
330,"AESCU","buckeye, horsechestnut spp.","Aesculus spp."
331,"AEGL","Ohio buckeye","Aesculus glabra"
332,"AEFL","yellow buckeye","Aesculus flava"
333,"AECA","California buckeye","Aesculus californica"
334,"AEGLA","Texas buckeye","Aesculus glabra"
336,"AEPA","red buckeye","Aesculus pavia"
337,"AESY","painted buckeye","Aesculus sylvatica"
341,"AIAL","ailanthus","Ailanthus altissima"
345,"ALJU","mimosa, silktree","Albizia julibrissin"
350,"ALNUS","alder spp.","Alnus spp."
351,"ALRU2","red alder","Alnus rubra"
352,"ALRH2","white alder","Alnus rhombifolia"
353,"ALOB2","Arizona alder","Alnus oblongifolia"
355,"ALGL2","European alder","Alnus glutinosa"
356,"AMELA","serviceberry spp.","Amelanchier spp."
357,"AMAR3","common serviceberry","Amelanchier arborea"
358,"AMSA","roundleaf serviceberry","Amelanchier sanguinea"
360,"ARBUT","madrone spp.","Arbutus spp."
361,"ARME","Pacific madrone","Arbutus menziesii"
362,"ARAR2","Arizona madrone","Arbutus arizonica"
363,"ARXA80","Texas madrone","Arbutus xalapensis"
367,"ASTR","pawpaw","Asimina triloba"
370,"BETUL","birch spp.","Betula spp."
371,"BEAL2","yellow birch","Betula alleghaniensis"
372,"BELE","sweet birch","Betula lenta"
373,"BENI","river birch","Betula nigra"
374,"BEOC2","water birch","Betula occidentalis"
375,"BEPA","paper birch","Betula papyrifera"
376,"BENE4","resin birch","Betula neoalaskana"
377,"BEUB","Virginia roundleaf birch","Betula uber"
378,"BEUT","northwestern paper birch","Betula x utahensis"
379,"BEPO","gray birch","Betula populifolia"
381,"SILAL3","chittamwood, gum bumelia","Sideroxylon lanuginosum"
391,"CACA18","American hornbeam, musclewood","Carpinus caroliniana"
400,"CARYA","hickory spp.","Carya spp."
401,"CAAQ2","water hickory","Carya aquatica"
402,"CACO15","bitternut hickory","Carya cordiformis"
403,"CAGL8","pignut hickory","Carya glabra"
404,"CAIL2","pecan","Carya illinoinensis"
405,"CALA21","shellbark hickory","Carya laciniosa"
406,"CAMY","nutmeg hickory","Carya myristiciformis"
407,"CAOV2","shagbark hickory","Carya ovata"
6155,"ARCO32","New Caledonia pine","Araucaria columnaris"
6157,"ARHE12","Norfolk Island pine","Araucaria heterophylla"
